network,iteration,prob_less,prob_more,time
pc,1,0.22779554540128905,0.14542483660130717,0.005551233000005595
pc,2,0.22779554540128905,0.14542483660130717,0.0069734890003019245
pc,3,0.22779554540128905,0.14542483660130717,0.007162557999436103
pc,4,0.22779554540128905,0.14542483660130717,0.00798648999989382
pc,5,0.22779554540128905,0.14542483660130717,0.007785746999616094
tree,1,0.22779554540128905,0.14542483660130717,0.007781350000186649
tree,2,0.22779554540128905,0.14542483660130717,0.007011624999904598
tree,3,0.22779554540128905,0.14542483660130717,0.005996986000354809
tree,4,0.22779554540128905,0.14542483660130717,0.007289114999366575
tree,5,0.22779554540128905,0.14542483660130717,0.00564717399993242
expert,1,0.5014521140006994,0.49827586783974953,0.0033023139994838857
expert,2,0.5014521140006994,0.49827586783974953,0.002855868000551709
expert,3,0.5014521140006994,0.49827586783974953,0.0028319100001681363
expert,4,0.5014521140006994,0.49827586783974953,0.003335540000080073
expert,5,0.5014521140006994,0.49827586783974953,0.0033846480000647716
